ACC_ID	#total_dis_sites	length	fraction_disordered	binned
A0A075B759	1	164	0.6097560975609756	(0, 10]
A0A087WUL8	1516	3843	39.44834764506896	(30, 50]
A0A087WVF3	206	549	37.52276867030965	(30, 50]
A0A087WX78	308	387	79.58656330749353	(70, 90]
A0A087WXM9	162	373	43.43163538873995	(30, 50]
A0A087WXS9	210	549	38.25136612021858	(30, 50]
A0A087X179	206	549	37.52276867030965	(30, 50]
A0A087X1C5	20	515	3.8834951456310676	(0, 10]
A0A087X1G2	195	549	35.51912568306011	(30, 50]
A0A096LP49	818	1063	76.95202257761053	(70, 90]
A0A096LP55	40	91	43.956043956043956	(30, 50]
A0A0A6YYL3	205	544	37.68382352941176	(30, 50]
A0A0B4J275	14	112	12.5	(10, 30]
A0A0B4J2A2	1	164	0.6097560975609756	(0, 10]
A0A0B4J2D5	33	268	12.313432835820896	(10, 30]
A0A0B4J2F2	182	783	23.243933588761177	(10, 30]
A0A0G2JMD5	2	474	0.42194092827004215	(0, 10]
A0A0J9YX94	292	578	50.51903114186851	(50, 70]
A0A0J9YXQ4	347	647	53.63214837712519	(50, 70]
A0A0U1RQE8	8	302	2.6490066225165565	(0, 10]
A0A0U1RR11	108	272	39.705882352941174	(30, 50]
A0A0U1RRE5	68	68	100.0	(90, 100]
A0A0U1RRI6	114	287	39.721254355400696	(30, 50]
A0A0U1RRK4	108	108	100.0	(90, 100]
A0A140G945	21	173	12.138728323699421	(10, 30]
A0A1B0GTH6	203	734	27.656675749318797	(10, 30]
A0A1B0GTR0	5	161	3.1055900621118013	(0, 10]
A0A1B0GTS1	183	333	54.95495495495496	(50, 70]
A0A1B0GTU1	592	805	73.54037267080746	(70, 90]
A0A1B0GUA9	199	212	93.86792452830188	(90, 100]
A0A1B0GUS0	115	222	51.80180180180181	(50, 70]
A0A1B0GUV7	60	120	50.0	(30, 50]
A0A1B0GUY1	257	285	90.17543859649123	(90, 100]
A0A1B0GV03	535	622	86.0128617363344	(70, 90]
A0A1B0GVG4	175	234	74.78632478632478	(70, 90]
A0A1B0GVG6	116	124	93.54838709677419	(90, 100]
A0A1B0GVH6	91	325	28.000000000000004	(10, 30]
A0A1B0GVN3	15	265	5.660377358490567	(0, 10]
A0A1B0GVQ0	3	90	3.3333333333333335	(0, 10]
A0A1B0GVZ6	139	204	68.13725490196079	(50, 70]
A0A1B0GWB2	123	263	46.7680608365019	(30, 50]
A0A1B0GWH4	182	333	54.65465465465466	(50, 70]
A0A286YF58	152	385	39.48051948051948	(30, 50]
A0AUZ9	202	987	20.466058763931105	(10, 30]
A0AV02	68	714	9.523809523809524	(0, 10]
A0AV96	68	593	11.467116357504215	(10, 30]
A0AVI2	69	2057	3.3543996110841032	(0, 10]
A0AVK6	485	867	55.94002306805075	(50, 70]
A0AVT1	42	1052	3.9923954372623576	(0, 10]
