ACC_ID	STY_count	#P-sites	Perc_Psites	#proj_NSAF	NSAF_sum	NSAF_max	NSAF_avg	length	arbitary_abundance	NSAF_log	#P-sites_log	Perc_Psites_log	NSAF_log_norm	PRIDE	UP_PRIDE
P31946	42	7	16.666666666666664	30	0.05099691048765747	0.007526872475675705	0.001699897016255249	246	medium	-6.3771876084283114	1.9459101490553132	2.8134107167600364	0.6242003684301439	7	0
P62258	36	15	41.66666666666667	31	0.06284215654176062	0.006045329784476419	0.0020271663400567943	255	high	-6.2011163526903434	2.70805020110221	3.7297014486341915	0.6350629972325678	12	3
Q04917	37	6	16.216216216216218	28	0.024163387156280275	0.0022911892037583074	0.0008629781127242955	246	medium	-7.055121229051483	1.791759469228055	2.786011742571922	0.58237558991847	5	1
P61981	43	14	32.55813953488372	31	0.04408115904865801	0.009375240896056902	0.0014219728725373552	247	high	-6.555710024761006	2.6390573296152584	3.4830273999097874	0.6131865164904508	11	3
P31947	39	12	30.76923076923077	29	0.02758932777698266	0.003486061493927916	0.0009513561302407814	248	high	-6.957622085770469	2.4849066497880004	3.4265151896464454	0.5883907512097155	10	2
P27348	43	11	25.58139534883721	29	0.037473611307918604	0.004345466326583784	0.0012921934933765036	245	medium	-6.651414122159725	2.3978952727983707	3.2418653430928996	0.6072820996646829	9	2
P63104	40	17	42.5	32	0.0795661860559514	0.009123513011470023	0.002486443314248481	245	high	-5.996901977475949	2.833213344056216	3.7495040759303713	0.6476619018338627	14	3
Q96QU6	79	1	1.2658227848101269	5	7.065194786481212e-05	4.559806974506607e-05	1.4130389572962424e-05	501	low	-11.167182791020695	0.0	0.2357223335210701	0.3286839911781152	1	0
Q15172	72	5	6.9444444444444455	12	0.0004585412710883739	9.411175114201688e-05	3.821177259069782e-05	486	low	-10.172366906827811	1.6094379124341003	1.9379419794061366	0.3900586637869398	2	3
Q15173	68	4	5.882352941176469	7	5.323753746736661e-05	1.4995607637040854e-05	7.605362495338087e-06	497	low	-11.786656967992778	1.3862943611198906	1.771956841931875	0.29046583905026774	4	0
Q14738	85	16	18.823529411764707	27	0.00184214981891747	0.00021965497665005982	6.82277710710174e-05	602	medium	-9.592658875543663	2.772588722239781	2.9351076517375563	0.4258234632780912	10	6
Q16537	71	4	5.63380281690141	15	0.0005394835268448576	0.00010206178773771376	3.5965568456323834e-05	467	low	-10.232948508949656	1.3862943611198906	1.728784670066667	0.38632111188871804	2	2
Q13362	64	2	3.125	16	0.0004038589052245435	9.559988679257224e-05	2.5241181576533968e-05	524	low	-10.587033707736671	0.6931471805599453	1.1394342831883648	0.36447600115366463	2	0
P30153	76	2	2.631578947368421	25	0.009365770808693294	0.0014025924460935393	0.00037463083234773174	589	low	-7.889569463952854	0.6931471805599453	0.9675840262617055	0.530894719900362	2	0
P63151	81	1	1.2345679012345678	19	0.0018642230946161137	0.00030017736714520583	9.811700497979546e-05	447	low	-9.22934986309412	0.0	0.21072103131565253	0.44823763262261956	1	0
Q66LE6	78	3	3.8461538461538463	16	0.0006389382398296583	0.00012801472420942837	3.9933639989353646e-05	453	low	-10.128291481781346	1.0986122886681098	1.3470736479666094	0.39277787527652747	3	0
Q9Y2T4	83	2	2.409638554216868	14	0.0005782096644109795	0.00020442624556848407	4.130069031506996e-05	447	low	-10.094631343486371	0.6931471805599453	0.879476758751439	0.3948545208153127	2	0
Q9Y3L3	116	16	13.79310344827586	16	0.001812784300539842	0.0005533933501776469	0.00011329901878374012	701	medium	-9.0854800503055	2.772588722239781	2.6241687171215076	0.457113609372185	9	7
P78314	98	10	10.20408163265306	14	0.0003800826282985513	8.81701016429876e-05	2.7148759164182237e-05	561	medium	-10.514179215605456	2.302585092994046	2.322787800311565	0.36897072291442873	7	3
O60239	74	12	16.216216216216218	14	0.0003677389783982192	0.00010392639325451712	2.6267069885587085e-05	455	medium	-10.547194498912248	2.4849066497880004	2.786011742571922	0.3669338613843317	9	3
Q7L8J4	51	8	15.68627450980392	17	0.00213133831571879	0.00040631152412522404	0.0001253728421011053	393	medium	-8.984218523386783	2.0794415416798357	2.7527860949436014	0.46336088905605155	2	6
P46952	41	1	2.4390243902439024	3	6.633752656093934e-05	3.340465608642422e-05	2.2112508853646446e-05	286	low	-10.71936709808743	0.0	0.8915981192837835	0.35631175826505906	1	0
P31937	53	1	1.8867924528301887	18	0.002565736021948359	0.00045922882664092834	0.00014254089010824216	336	low	-8.855881651289295	0.0	0.6348782724359695	0.4712785687330447	1	0
P29372	40	4	10.0	15	0.0007257515167829388	0.000277733432421024	4.838343445219592e-05	298	low	-9.93635306621155	1.3862943611198906	2.302585092994046	0.40461942063565715	3	1
P11171	151	36	23.84105960264901	24	0.0021289284803492777	0.00029241865533412395	8.870535334788657e-05	864	medium	-9.330190317055203	3.58351893845611	3.1714092876292774	0.44201633082604835	15	21
Q13541	29	18	62.06896551724138	17	0.0762341443768427	0.022553052454972963	0.0044843614339319235	118	high	-5.407159171772676	2.8903717578961645	4.128246113897782	0.6840457917561815	8	10
