ACC_ID	Pfam_ID	#Psites_pfam	#pS	#pT	#pY	STY_count	countS	countT	countY	domain_length	perc.psites	Pfam_fam	Pfam_short	Pfam_desc
A0A075B759	PF00160	1	0	1	0	22	9	10	3	157	4.54545454545455	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
A0A0B4J2A2	PF00160	1	0	1	0	23	9	11	3	157	4.34782608695652	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
F5H284	PF00160	1	0	1	0	23	9	11	3	157	4.34782608695652	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P0DN26	PF00160	1	0	1	0	22	9	10	3	157	4.54545454545455	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P0DN37	PF00160	1	0	1	0	23	9	11	3	157	4.34782608695652	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P23284	PF00160	1	1	0	0	21	6	11	4	158	4.76190476190476	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P49792	PF00160	2	2	0	0	20	8	11	1	157	10	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
P62937	PF00160	6	4	1	1	20	8	10	2	157	30	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q13427	PF00160	1	1	0	0	22	11	9	2	166	4.54545454545455	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q6UX04	PF00160	2	1	0	1	21	8	9	4	153	9.52380952380952	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q8WUA2	PF00160	1	0	1	0	25	5	13	7	160	4	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q96BP3	PF00160	1	0	1	0	30	10	16	4	153	3.33333333333333	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q9H2H8	PF00160	1	0	0	1	26	6	13	7	153	3.84615384615385	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q9UNP9	PF00160	2	1	1	0	19	8	9	2	157	10.5263157894737	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q9Y3C6	PF00160	3	2	1	0	21	4	11	6	151	14.2857142857143	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Q9Y536	PF00160	2	0	2	0	22	9	10	3	157	9.09090909090909	Cyclophil-like	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
A0A087WSY4	PF07686	1	1	0	0	32	19	6	7	95	3.125	Ig	V-set	Immunoglobulin V-set domain
A0A087X0M5	PF07686	1	1	0	0	12	8	0	4	91	8.33333333333333	Ig	V-set	Immunoglobulin V-set domain
A0A0A6YYG2	PF07686	1	0	1	0	22	8	6	8	90	4.54545454545455	Ig	V-set	Immunoglobulin V-set domain
A0A0B4J234	PF07686	1	1	0	0	18	10	2	6	83	5.55555555555556	Ig	V-set	Immunoglobulin V-set domain
A0A0B4J245	PF07686	1	1	0	0	21	12	4	5	86	4.76190476190476	Ig	V-set	Immunoglobulin V-set domain
A0A0B4J275	PF07686	1	0	1	0	22	12	7	3	87	4.54545454545455	Ig	V-set	Immunoglobulin V-set domain
A0A0K0K1A5	PF07686	1	0	1	0	23	10	7	6	90	4.34782608695652	Ig	V-set	Immunoglobulin V-set domain
A0A1B0GXF2	PF07686	1	1	0	0	23	13	6	4	90	4.34782608695652	Ig	V-set	Immunoglobulin V-set domain
O00241	PF07686	1	1	0	0	22	11	8	3	108	4.54545454545455	Ig	V-set	Immunoglobulin V-set domain
O14931	PF07686	1	0	1	0	15	9	5	1	107	6.66666666666667	Ig	V-set	Immunoglobulin V-set domain
O60667	PF07686	1	0	1	0	20	5	11	4	104	5	Ig	V-set	Immunoglobulin V-set domain
P01602	PF07686	1	1	0	0	32	19	7	6	90	3.125	Ig	V-set	Immunoglobulin V-set domain
P0DOX5	PF07686	1	0	0	1	24	10	8	6	109	4.16666666666667	Ig	V-set	Immunoglobulin V-set domain
P0DP01	PF07686	1	1	0	0	26	11	9	6	93	3.84615384615385	Ig	V-set	Immunoglobulin V-set domain
