STY_count	#Psites_pfam	perc_phos_indomain	Phos_contribution_fromallproteins_toproteome_92453	Pfam_ID	#Proteins	avgDomain_length	avgSTY_count	#avgPsites_pfam	avg_perc_phos_indomain	avg_#pS	avg_#pT	avg_#pY	avg_countS	avg_countT	avg_countY	Pfam_desc	Pfam_short
1305	38	2.9118773946360155	0.04110196532292083	PF00001	25	313	52	1.52	2.923	1.0	0.28	0.24	23	18	11	7 transmembrane receptor (rhodopsin family)	7tm_1
66	2	3.0303030303030303	0.0021632613327853068	PF00003	2	234	33	1.0	3.03	0.5	0.5	0.0	13	14	6	7 transmembrane sweet-taste receptor of 3 GCPR	7tm_3
260	21	8.076923076923077	0.022714243994245726	PF00004	11	195	24	1.91	7.958	1.36	0.18	0.36	11	9	3	ATPase family associated with various cellular activities (AAA)	AAA
621	24	3.864734299516908	0.025959135993423685	PF00005	17	273	37	1.41	3.811	0.65	0.59	0.18	19	12	5	ABC transporter	ABC_tran
84	3	3.571428571428571	0.0032448919991779606	PF00006	2	225	42	1.5	3.571	0.5	0.0	1.0	20	12	10	ATP synthase alpha/beta family, nucleotide-binding domain	ATP-synt_ab
116	4	3.4482758620689653	0.0043265226655706136	PF00008	3	272	39	1.33	3.41	1.0	0.33	0.0	15	17	7	EGF-like domain	EGF
374	30	8.02139037433155	0.03244891999177961	PF00009	11	235	34	2.73	8.029	1.09	0.55	1.09	13	15	6	Elongation factor Tu GTP binding domain	GTP_EFTU
35	7	20.0	0.007571414664748575	PF00010	6	54	6	1.17	19.5	0.5	0.5	0.17	3	2	1	Helix-loop-helix DNA-binding domain	HLH
49	12	24.489795918367346	0.012979567996711842	PF00011	3	91	16	4.0	25.0	2.0	1.33	0.67	8	6	3	Hsp20/alpha crystallin family	HSP20
1275	132	10.352941176470589	0.14277524796383026	PF00012	15	596	85	8.8	10.353	4.4	2.8	1.6	34	36	14	Hsp70 protein	HSP70
527	72	13.66223908918406	0.07787740798027105	PF00013	18	233	29	4.0	13.793	2.56	1.28	0.17	12	14	3	KH domain	KH_1
31	1	3.225806451612903	0.0010816306663926534	PF00014	1	162	31	1.0	3.226	1.0	0.0	0.0	9	9	13	Kunitz/Bovine pancreatic trypsin inhibitor domain	Kunitz_BPTI
