ACC_ID	STY_count	countS	countT	countY
Q8NF67	24	14	5	5
Q9NPB9	62	22	20	20
P31937	53	31	13	9
P61981	43	18	11	14
O94805	64	28	23	13
P00325	51	21	24	6
Q8WXA8	78	32	33	13
P29274	51	26	14	11
P52594	134	82	45	7
Q9H0C2	43	20	11	12
Q9UKV8	126	44	54	28
Q8NFM4	175	86	54	35
Q8TD06	25	10	8	7
Q9BVK2	90	38	29	23
Q3KRA9	32	13	10	9
Q8IZF5	182	97	63	22
O43572	133	80	37	16
Q8N8V4	57	37	16	4
Q8NHP1	51	21	17	13
Q12955	890	483	329	78
Q9HCJ1	79	31	31	17
Q9NZN5	266	146	91	29
Q96LA8	48	24	14	10
A6QL64	336	189	117	30
Q92484	89	32	30	27
P39687	26	12	8	6
A6NK59	86	40	25	21
P05026	43	13	12	18
Q5T1B0	146	64	52	30
P51451	70	28	22	20
Q6UWJ8	20	10	7	3
Q02338	68	32	22	14
O60885	187	108	61	18
Q4VC31	17	8	8	1
O00175	20	9	8	3
A8MZ97	26	9	14	3
P06307	16	10	2	4
P05814	25	9	9	7
P43155	101	46	31	24
Q9H2F9	51	26	20	5
Q9BV19	27	9	11	7
P52907	43	16	17	10
Q9H4Z3	114	73	19	22
Q9BUN5	23	15	7	1
Q9H8G2	58	46	9	3
Q6UWT4	13	8	4	1
A0A0U1RR37	22	12	9	1
Q96Q40	68	36	18	14
Q5TDH0	45	27	13	5
O94830	120	60	34	26
Q8NA75	72	39	22	11
Q8IU60	53	28	14	11
Q8N688	11	2	4	5
Q01523	18	9	7	2
Q5JSL3	354	161	111	82
Q6ZS02	34	16	16	2
Q14129	21	9	7	5
Q86YN1	41	17	14	10
Q13268	41	25	10	6
Q96FX2	13	5	4	4
Q0P6D2	41	28	8	5
O60941	94	50	32	12
Q7Z5J1	51	24	19	8
P43005	82	33	38	11
Q5THR3	244	106	95	43
P60507	124	55	49	20
A8MZ26	23	5	6	12
Q8NEJ0	34	19	8	7
Q9BQI3	92	47	29	16
Q99956	59	39	10	10
P59020	20	12	5	3
Q658K8	18	14	2	2
P05305	31	18	8	5
Q5JU00	74	39	28	7
O60869	17	6	10	1
Q9NQ11	185	85	67	33
P0C853	19	14	4	1
Q502W7	76	44	21	11
A2IDD5	59	32	23	4
Q00975	346	165	118	63
Q8NAJ2	29	25	3	1
Q00537	92	51	24	17
Q8TAL5	75	39	28	8
Q86X52	119	57	28	34
P86791	66	29	19	18
P0C7V0	53	33	15	5
Q7Z4T9	112	46	38	28
Q8NCQ2	28	19	8	1
Q5K131	24	14	3	7
Q96KN2	67	32	22	13
Q15417	61	20	23	18
Q9P232	202	101	66	35
P01031	327	137	107	83
P51795	121	50	48	23
P35523	155	76	53	26
Q99715	620	241	266	113
Q32Q52	37	22	11	4
Q96LM1	21	12	5	4
Q03060	70	34	29	7
Q9BUF7	20	11	8	1
Q9UKF6	96	39	34	23
Q96BA8	92	50	35	7
Q9H114	27	13	8	6
O15528	69	31	27	11
Q9NQ92	26	15	7	4
P22680	77	28	31	18
Q99829	81	39	26	16
Q5TCH4	71	37	21	13
Q05D32	81	39	29	13
Q9NQC7	148	77	43	28
P28325	23	9	7	7
Q5M775	207	122	71	14
P17302	66	37	13	16
P78310	71	40	17	14
P19876	14	8	6	0
Q53GD3	108	47	30	31
P0CG13	17	4	9	4
P56545	53	19	23	11
